,close,funding_rate,is_trade,inj,eq,clt,leverage,entry,pos_size,d,change,change_pnl,funding,funding_pnl,margin,mm_sl,is_sl,fee,pnl
1151,242.39,-1.899742119124054e-07,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,4.400492999999983,0.036690881448730076,3.839424757407668e-07,0.015387778341228038,0.4489453193837241,0.12402083112305187,False,0.0,-0.6789005730218476
1152,242.39,-9.177385209678368e-05,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,4.400492999999983,0.036690881448730076,0.00018547717412589076,0.015573255515353929,0.44913079655785,0.12402083112305187,False,0.0,-0.6787150958477217
1153,242.39,-3.475022893590993e-05,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,4.400492999999983,0.036690881448730076,7.023105291976972e-05,0.015643486568273697,0.44920102761076974,0.12402083112305187,False,0.0,-0.6786448647948019
1154,242.39,-4.7125519710988293e-07,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,4.400492999999983,0.036690881448730076,9.524181480352617e-07,0.015644438986421733,0.44920198002891776,0.12402083112305187,False,0.0,-0.6786439123766539
1155,242.39,-2.1813129046283293e-08,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,4.400492999999983,0.036690881448730076,4.408486123129403e-08,0.015644483071282963,0.449202024113779,0.12402083112305187,False,0.0,-0.6786438682917926
1156,242.39,-7.320984275801122e-09,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,4.400492999999983,0.036690881448730076,1.4795886238529824e-08,0.0156444978671692,0.44920203890966526,0.12402083112305187,False,0.0,-0.6786438534959064
1157,244.94,-1.5818100159303986e-08,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,6.9504929999999945,0.05795253274422412,3.2305081824146434e-08,0.015644530172251026,0.47046372251024116,0.12402083112305187,False,0.0,-0.6573821698953305
1158,244.94,-1.2893065940900062e-06,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,6.9504929999999945,0.05795253274422412,2.633132588554927e-06,0.015647163304839583,0.4704663556428297,0.12402083112305187,False,0.0,-0.657379536762742
1159,245.53,-6.953595153480195e-05,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,7.540492999999998,0.06287189520082863,0.00014235436109404025,0.015789517665933624,0.47552807246052825,0.12402083112305187,False,0.0,-0.6523178199450435
1160,245.53,-2.3149515543016185e-07,False,0.0,1.1278458924055716,0.396866659593766,5,237.989507,0.008337902468821157,1,7.540492999999998,0.06287189520082863,4.7391808439024463e-07,0.015789991584018014,0.47552854637861264,0.12402083112305187,False,0.0,-0.652317346026959
